original_city,original_ address,lat,lon,formatted,name,housenumber,street,suburb,postcode,district,city,county,state,country,country_code,confidence_street_level,confidence,confidence_city_level,attribution,attribution_license,attribution_url
Aleksandrovac," Mihajla Kolumba",43.49148,20.99882,"Aleksandrovac, Central Serbia, Serbia",,,,,,,Aleksandrovac,Rasinski upravni okrug,Central Serbia,Serbia,rs,,0.5,1,,,https://www.whosonfirst.org/docs/licenses/
Aleksinac," ",,,,,,,,,,,,,,,,,,,,
Aleksinac," Centar; Ace Milojević 33",44.796876,20.488452,"GAME CENTAR, Жичка 20, 11000 Belgrade, Serbia",GAME CENTAR,20,Жичка,,11000,Savski Venac,Belgrade,Grad Beograd,Central Serbia,Serbia,rs,,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Aleksinac," Žitkovac; Cerska 7",43.525581,21.690685,"Aleksinac, Central Serbia, Serbia",,,,,,,Aleksinac,Nisava,Central Serbia,Serbia,rs,,0,1,,,https://www.whosonfirst.org/docs/licenses/
Alibunar," Dobrica; Partizan 60A",43.70274,20.23341,"Dobrića Potok, Lucani, Morava, Serbia",Dobrića Potok,,,,,,Lucani,Morava,Central Serbia,Serbia,rs,,0.475,,,CC BY 4.0,https://www.geonames.org/datasources/
Alibunar," Zeleznicka",45.1301018,20.9175168,"Железничка, Alibunar Municipality, Serbia",Железничка,,Железничка,,,Селеуш,Alibunar Municipality,South Banat Administrative District,Vojvodina,Serbia,rs,0.475,0.475,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Apatin," Centar; Matije Gupca 58",45.125089,19.223373,"Centar, Sid, Sremski upravni okrug, Serbia",Centar,,,,,,Sid,Sremski upravni okrug,Vojvodina,Serbia,rs,,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Aranđelovac," Seničani",43.24917,21.34111,"Senicani, Serbia",,,,,,,Senicani,,,Serbia,rs,,0,,,,https://www.whosonfirst.org/docs/licenses/
Babušnica," Saše Ivkovića 40",45.27387,19.781776,"Sase Krstica, Petrovaradin, Serbia",,,Sase Krstica,,,Novi Sad,Petrovaradin,South Backa,Vojvodina,Serbia,rs,,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Batočina," ",,,,,,,,,,,,,,,,,,,,
Batočina," Kralja Milana obrenovića broj 61",44.15701,21.05344,"Batocina, Serbia",,,,,,,Batocina,,,Serbia,rs,,0.25,1,,,https://www.whosonfirst.org/docs/licenses/
Batočina," Lepenicka 5",44.849048,20.409001,"Гробљанска 5, Belgrade, Serbia",,5,Гробљанска,,,Savski Venac,Belgrade,Grad Beograd,Central Serbia,Serbia,rs,,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Batočina," Železnička 54",44.15701,21.05344,"Batocina, Serbia",,,,,,,Batocina,,,Serbia,rs,,0.25,1,,,https://www.whosonfirst.org/docs/licenses/
Bač," Plavna",45.3485622,19.1293129,"Plavna, Bac Municipality, South Backa Administrative District, Serbia",Plavna,,,,,,Bac Municipality,South Backa Administrative District,Vojvodina,Serbia,rs,0.95,0.95,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bačka Palanka," ",,,,,,,,,,,,,,,,,,,,
Bačka Palanka," Pivnice",45.467169,19.457053,"DVD Pivnice, Backa Palanka, South Backa, Serbia",DVD Pivnice,,,,,,Backa Palanka,South Backa,Vojvodina,Serbia,rs,0.95,0.95,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bačka Palanka," Slobodana Bajica 13",45.251846,19.396058,"Bačka Palanka, South Backa, Serbia",,,,,,Backa Palanka,Bačka Palanka,South Backa,Vojvodina,Serbia,rs,,0.25,1,,,https://www.whosonfirst.org/docs/licenses/
Bačka Topola," Panonija",45.7503869,19.5214468,"Panonija, Backa Topola Municipality, North Backa Administrative District, Serbia",Panonija,,,,,,Backa Topola Municipality,North Backa Administrative District,Vojvodina,Serbia,rs,0.95,0.95,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bačka Topola," Pačir; Bakarska 13",45.90024,19.44174,"Pacir, North Bačka District, Serbia",,,,,,Backa Topola,Pacir,North Bačka District,Vojvodina,Serbia,rs,,0.25,1,,,https://www.whosonfirst.org/docs/licenses/
Bačka Topola," Stara Moravica; Kosuta Lajosa 37.",45.81516,19.6318,"Bačka Topola, North Bačka District, Serbia",,,,,,Backa Topola,Bačka Topola,North Bačka District,Vojvodina,Serbia,rs,,0.08428720083246616,0.3333333333333333,,,https://www.whosonfirst.org/docs/licenses/
Bačka Topola," Trg Svetog Ilije 35",45.8136397,19.6452067,"Трг Светог Илије, 24300 Backa Topola Municipality, Serbia",Трг Светог Илије,,Трг Светог Илије,,24300,Бачка Топола,Backa Topola Municipality,North Backa Administrative District,Vojvodina,Serbia,rs,0.5172222222222221,0.25861111111111107,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bački Petrovac," ",,,,,,,,,,,,,,,,,,,,
Bela Crkva," Karađorđeva 18",44.900592,21.417501,"Карађорђева, 26340 Bela Crkva Municipality, Serbia",Карађорђева,,Карађорђева,,26340,Бела Црква,Bela Crkva Municipality,South Banat Administrative District,Vojvodina,Serbia,rs,0.5225,0.26125,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Beli Breg," Aleksinac",43.4851795,21.8186846,"Бели Брег, Aleksinac Municipality, Nisava Administrative District, Serbia",Бели Брег,,,,,,Aleksinac Municipality,Nisava Administrative District,Central Serbia,Serbia,rs,0.95,0.95,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Beograd," Lazarevac opština; Lazarevac; Ibarska magistrala Lazarevac; Sokolska",44.73861,20.44376,"Opština Beograd-Rakovica, Grad Beograd, Serbia",,,,,,Savski Venac,Opština Beograd-Rakovica,Grad Beograd,Central Serbia,Serbia,rs,,0.2375,0.95,,CC BY 4.0,https://www.geonames.org/datasources/
Beograd," Lazarevac opština; Lazarevac; kolubarski trg 174",,,,,,,,,,,,,,,,,,,,
Beograd," Lazarevac opština; Petka; Vladike nikolaja velimirovic 12",44.38534,20.2557,"Lazarevac, Grad Beograd, Serbia",,,,,,Lazarevac,Lazarevac,Grad Beograd,Central Serbia,Serbia,rs,,0.2375,0.95,,,https://www.whosonfirst.org/docs/licenses/
